Processor,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
AMD,0-> 6-> 7-> 11-> 17-> 18,6
Dual,0-> 18-> 11-> 7,4
Core,0-> 1-> 3-> 4-> 7-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 18-> 19-> 20,15
E2,0-> 6-> 7-> 11-> 17-> 18,6
9000e,0-> 11,2
processor,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,19
1.5GHz,0-> 11,2
base,0-> 1-> 2-> 3-> 4-> 5-> 6-> 11-> 12-> 13-> 14-> 15-> 16-> 17,14
speed,0-> 1-> 2-> 3-> 4-> 5-> 6-> 11-> 12-> 13-> 14-> 15-> 16-> 17,14
Operating,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
system,0-> 3-> 5-> 7-> 10-> 11-> 14-> 16-> 18,9
Pre,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,16
loaded,0-> 1-> 2-> 4-> 6-> 9-> 11-> 12-> 13-> 15-> 17-> 20,12
Windows,0-> 1-> 2-> 4-> 6-> 7-> 9-> 10-> 11-> 12-> 13-> 15-> 17-> 18-> 20,15
10,0-> 1-> 2-> 4-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 15-> 17-> 18-> 19-> 20,17
Home,0-> 1-> 2-> 4-> 7-> 8-> 9-> 11-> 12-> 13-> 15-> 18-> 19-> 20,14
with,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
lifetime,0-> 1-> 2-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 15-> 17-> 19-> 20,14
validity,0-> 1-> 2-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 15-> 17-> 19-> 20,14
Display,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
15.6,0-> 1-> 2-> 4-> 5-> 6-> 7-> 9-> 10-> 11-> 12-> 13-> 15-> 16-> 17-> 18-> 20,17
inch,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
HD,0-> 1-> 2-> 3-> 4-> 5-> 6-> 11-> 12-> 13-> 14-> 15-> 16-> 17,14
(1366x768),0-> 2-> 3-> 6-> 11-> 13-> 14-> 17,8
display,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
Memory,0-> 1-> 2-> 3-> 4-> 5-> 6-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 20,17
&,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
Storage,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
4GB,0-> 2-> 3-> 4-> 6-> 7-> 8-> 9-> 10-> 11-> 13-> 14-> 15-> 17-> 18-> 19-> 20,17
DDR4,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
1TB,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
HDD,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
Design,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
battery,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
Weight,0-> 5-> 9-> 10-> 11-> 16-> 20,7
1.77kg,0-> 11,2
Average,0-> 16-> 11-> 5,4
life,0-> 5-> 7-> 8-> 11-> 16-> 18-> 19,8
=,0-> 16-> 11-> 5,4
4,0-> 5-> 8-> 9-> 10-> 11-> 16-> 19-> 20,9
Hours,0-> 16-> 11-> 5,4
Lithium,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19,16
Ideal,0-> 11,2
for,0-> 3-> 6-> 8-> 10-> 11-> 14-> 17-> 19,9
basic,0-> 17-> 11-> 6,4
computing,0-> 11,2
needs,0-> 11,2
Warranty,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
This,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
genuine,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
HP,0-> 1-> 4-> 5-> 11-> 12-> 15-> 16,8
laptop,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
comes,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
1,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
year,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
domestic,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
warranty,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
from,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
covering,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
manufacturing,0-> 1-> 2-> 4-> 5-> 8-> 9-> 10-> 11-> 12-> 13-> 15-> 16-> 19-> 20,15
defects,0-> 1-> 2-> 4-> 5-> 8-> 9-> 10-> 11-> 12-> 13-> 15-> 16-> 19-> 20,15
and,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
not,0-> 1-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 16-> 17-> 19-> 20,17
physical,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
damage.,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
For,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
more,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
details,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
see,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
section,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
below.,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
installed,0-> 2-> 3-> 6-> 8-> 9-> 11-> 13-> 14-> 17-> 19-> 20,12
Software,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,16
None,0-> 1-> 3-> 4-> 6-> 8-> 11-> 12-> 14-> 15-> 17-> 19,12
In,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
the,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
box,0-> 10-> 11,3
Laptop,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
included,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
charger,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
Ports,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
CD,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
Drive,0-> 16-> 11-> 5,4
USB,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
2.0,0-> 1-> 2-> 3-> 4-> 6-> 8-> 11-> 12-> 13-> 14-> 15-> 17-> 19,14
2,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
3.0,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
HDMI,0-> 1-> 2-> 3-> 4-> 5-> 6-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 20,17
Audio,0-> 1-> 2-> 3-> 4-> 11-> 12-> 13-> 14-> 15,10
output,0-> 1-> 4-> 11-> 12-> 15,6
With,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
DVD,0-> 16-> 11-> 5,4
drive,0-> 1-> 2-> 3-> 4-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 19-> 20,19
all,0-> 11,2
your,0-> 16-> 11-> 5,4
Computing,0-> 11,2
Show,0-> 1-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 17-> 19-> 20,15
More,0-> 1-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 17-> 19-> 20,15
7th,1-> 4-> 6-> 9-> 12-> 15-> 17-> 20,8
Gen,1-> 2-> 3-> 4-> 5-> 6-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 20,15
Intel,1-> 2-> 3-> 4-> 5-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 19-> 20,15
i5,16-> 1-> 12-> 5,4
7200U,1-> 12,2
2.5GHz,1-> 12,2
System,1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,17
FHD,1-> 4-> 9-> 12-> 15-> 20,6
(1920x1080),1-> 4-> 12-> 15,4
8GB,16-> 1-> 12-> 5,4
RAM,1-> 2-> 3-> 4-> 5-> 6-> 7-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,17
620,1-> 4-> 5-> 12-> 15-> 16,6
Graphics,1-> 2-> 3-> 4-> 5-> 6-> 7-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,17
weight,1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 17-> 19-> 20,15
2.2,1-> 10-> 12,3
kg,1-> 4-> 8-> 10-> 12-> 15-> 19,7
Preinstalled,1-> 4-> 12-> 15,4
Box,1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 17-> 19-> 20,15
Other,1-> 2-> 3-> 4-> 12-> 13-> 14-> 15,8
features,1-> 4-> 12-> 15,4
6th,2-> 10-> 13,3
Corei3,2-> 13,2
6006U,2-> 8-> 10-> 13-> 19,5
2GHz,2-> 13,2
Anti,2-> 13,2
glare,2-> 13,2
technology,2-> 13,2
520,2-> 13,2
2.18kg,2-> 13,2
Dell,2-> 3-> 6-> 13-> 14-> 17,6
MS,2-> 13,2
Office,2-> 13,2
Student,2-> 13,2
