processor,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,20
intel,0-> 2-> 4-> 5-> 8-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 19-> 20,15
core,0-> 2-> 4-> 5-> 6-> 8-> 9-> 10-> 12-> 14-> 15-> 18-> 19-> 20,14
i5,0-> 2-> 4-> 6-> 8-> 11-> 12-> 15,8
8250u,0-> 2-> 4-> 6-> 8-> 11-> 12,7
3.4,0-> 2,2
ghz,0-> 2-> 4-> 7-> 17-> 20,6
base,0-> 1-> 2-> 3-> 4-> 5-> 7-> 9,8
speed,0-> 1-> 2-> 3-> 4-> 5-> 7-> 9-> 16,9
6mb,0-> 2,2
cache,0-> 2,2
operating,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18,18
system,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18,18
pre,0-> 1-> 2-> 3-> 4-> 7-> 8-> 9,8
loaded,0-> 1-> 2-> 3-> 4-> 8-> 9,7
windows,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 19,18
10,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 19,18
with,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 15-> 16-> 19-> 20,14
lifetime,0-> 1-> 2-> 3-> 4-> 5-> 8-> 9-> 12,9
validity,0-> 1-> 2-> 3-> 4-> 5-> 8-> 9-> 12,9
display,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 20,11
13.3,0-> 2-> 11-> 13,4
inch,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 20,17
fhd,0-> 8-> 2-> 18,4
(1920,0-> 8-> 2-> 18,4
x,0-> 8-> 2-> 18,4
1080),0-> 2-> 18,3
led,0-> 2-> 18-> 20,4
anti,0-> 2-> 18,3
glare,0-> 2-> 18,3
backlit,0-> 2-> 18-> 19-> 20,5
memory,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12,10
&,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 16,11
storage,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12,10
8gb,0-> 2-> 4-> 6-> 8-> 11-> 12-> 15-> 16,9
ddr,0-> 2,2
ram,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
uhd,0-> 2-> 4-> 11-> 12,5
620,0-> 2-> 4-> 5-> 11-> 12,6
graphics,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 20,18
256gb,0-> 16-> 2-> 11,4
ssd,0-> 16-> 2-> 14,4
