Company, CPU company, CPU model, touchscreen, Link
HP,amd,None,No,https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15q-bw548AU/dp/B07DT3PYWX
Intel,intel,i5,No,https://www.amazon.in/HP-15-6-inch-Windows-Sparkling-bu044TU/dp/B07GZQ92J7
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-15-6-inch-Laptop-Windows/dp/B06Y3KJ2Z5
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-3478-14-inch-Laptop/dp/B07H7LBXLR
Intel,intel,i3,No,https://www.amazon.in/HP-15-6-inch-Windows-Sparkling-15q-ds0006TU/dp/B07FGZDZSN
HP,None,i5,No,https://www.amazon.in/HP-15-6-inch-Laptop-Sparkling-15q-ds0009TU/dp/B07DZLCBYJ
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3565-15-6-inch-Windows/dp/B078JVYMV1
Aspire,amd,None,No,https://www.amazon.in/Acer-GNVSI-001-15-6-inch-Dual-Core-Integrated/dp/B07BMZD5YM
Mi,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-14-inch-Windows-80XG008MIN/dp/B079Z2CN9B
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Windows-81DE01K2IN/dp/B07HBJBMDF
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Laptop-80XH01GEIN/dp/B0778NWQZB
HP,amd,None,No,https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15q-bw548AU/dp/B07DT3PYWX
Intel,intel,i5,No,https://www.amazon.in/HP-15-6-inch-Windows-Sparkling-bu044TU/dp/B07GZQ92J7
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-15-6-inch-Laptop-Windows/dp/B06Y3KJ2Z5
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-3478-14-inch-Laptop/dp/B07H7LBXLR
Intel,intel,i3,No,https://www.amazon.in/HP-15-6-inch-Windows-Sparkling-15q-ds0006TU/dp/B07FGZDZSN
HP,None,i5,No,https://www.amazon.in/HP-15-6-inch-Laptop-Sparkling-15q-ds0009TU/dp/B07DZLCBYJ
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3565-15-6-inch-Windows/dp/B078JVYMV1
Aspire,amd,None,No,https://www.amazon.in/Acer-GNVSI-001-15-6-inch-Dual-Core-Integrated/dp/B07BMZD5YM
Mi,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-14-inch-Windows-80XG008MIN/dp/B079Z2CN9B
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Windows-81DE01K2IN/dp/B07HBJBMDF
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Laptop-80XH01GEIN/dp/B0778NWQZB
Mi,None,None,No,https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-42/dp/B07GYF15LN
HP,None,Pentium,No,https://www.amazon.in/HP-Pentium-15-6-inch-Laptop-15q-ds0001TU/dp/B07DYML33H
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-14-inch-Laptop-80XG009VIN/dp/B07HBC3JGK
Intel,intel,Celeron,No,https://www.amazon.in/Asus-X540MA-GQ024T-15-6-inch-Integrated-Chocolate/dp/B07HBK27N1
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-3478-14-inch-Windows/dp/B07H7RPR9Y
HP,amd,None,No,https://www.amazon.in/HP-15-6-inch-Windows-Sparkling-dy0004AU/dp/B07H38T3PG
HP,None,i3,No,https://www.amazon.in/HP-15-6-inch-Laptop-Sparkling-15q-ds0016TU/dp/B07GBBWPYC
Intel,intel,Celeron,No,https://www.amazon.in/Acer-Celeron-15-6-inch-Obsidian-A315-33/dp/B07HBBVPW4
HP,amd,A6,No,https://www.amazon.in/HP-14-inch-Laptop-500GB-Black/dp/B01JOTIAN6
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-3576-15-6-inch-Windows/dp/B07H7Q233D
RDP,intel,None,No,https://www.amazon.in/RDP-ThinBook-1310-EC1-Display-Processor/dp/B07HD26HV4
Lenovo,intel,Pentium,No,https://www.amazon.in/Lenovo-Ideapad-Pentium-15-6-inchLaptop-81D100JCIN/dp/B07HBDPTJJ
Lenovo,intel,i5,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Graphics-81DE01JXIN/dp/B07HBHT97Q
Intel,intel,i5,No,https://www.amazon.in/HP-15-6-inch-Graphics-Sparkling-da0077TX/dp/B07DZK9YRK
Lenovo,None,Pentium,No,https://www.amazon.in/Lenovo-V110-15ISK-15-6-inch-Laptop-Pentium/dp/B01N777UBV
ACER,None,i7,No,https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/dp/B07DDM9DDJ
Aspire,amd,A4,No,https://www.amazon.in/Acer-Aspire-15-6-inch-Laptop-A315-21/dp/B0792DDGCM
Intel,intel,Pentium,No,https://www.amazon.in/Dell-Pentium-15-6-inch-Windows-3552/dp/B075VQJ89Q
Lenovo,intel,i5,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Graphics-81DE012NIN/dp/B07F3YBLWV
HP,None,Pentium,No,https://www.amazon.in/HP-Pentium-15-6-inch-Windows-15q-ds0002TU/dp/B07DYDSWSF
HP,None,None,No,https://www.amazon.in/HP-15q-by002AX-15-6-inch-Dual-Core-Sparkling/dp/B079SBWKJP
Lenovo,None,i5,No,https://www.amazon.in/Lenovo-320E-15IKB-80XL040VIN-15-6-inch-I5-7200U/dp/B07F33V1NR
Mi,None,i5,No,https://www.amazon.in/Acer-Gaming-Windows-Graphics-AN515-52/dp/B07GYLN9V5
HP,None,None,No,https://www.amazon.in/HP-BW098AU-15-6-inch-E2-9000e-Integrated/dp/B074RZCHMF
Intel,intel,i3,No,https://www.amazon.in/Acer-GRSSI-005-15-6-inch-Integrated-Graphics/dp/B07KJQ6PGL
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-3468-14-inch-Laptop/dp/B074GY4DSL
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Windows-5570/dp/B07GFY7RNQ
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-Laptop-Windows-Graphics/dp/B07B44TMBF
ACER,None,Atom,No,https://www.amazon.in/Acer-Switch-10-1-inch-Windows-SW110-1CT/dp/B079GYXCRV
Intel,intel,i5,No,https://www.amazon.in/Dell-3478-14-inch-Windows-Graphics/dp/B07CJXCXV1
Lenovo,amd,None,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Laptop-81D600BWIN/dp/B07HBKRK91
Dell,None,i7,No,https://www.amazon.in/Dell-G3-3579-15-6-inch-i7-8750H/dp/B07G11WCDL
Intel,intel,i3,No,https://www.amazon.in/HP-15q-bu041tu-15-6-inch-Integrated-Sparkling/dp/B07DZLYNMR
Mi,intel,i5,No,https://www.amazon.in/HP-Pavilion-15-6-inch-Windows-Graphics/dp/B07F64D9XJ
Asus,None,i7,No,https://www.amazon.in/15-6-inch-Laptop-Windows-Graphics-GL503GE-EN038T/dp/B07CK4QFS6
HP,None,Celeron,No,https://www.amazon.in/HP-Celeron-15-6-inch-Windows-15q-ds0000TU/dp/B07DYML33M
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3565-Laptop-Ubuntu/dp/B07H7D1TRD
Intel,intel,i3,No,https://www.amazon.in/Acer-A315-51-356P-GNPSI-001-Integrated-Graphics/dp/B0753MB6QN
Intel,intel,i3,No,https://www.amazon.in/Dell-15-6-inch-i3-7020U-Integrated-Graphics/dp/B07JC3BLY7
Intel,intel,i3,No,https://www.amazon.in/Acer-476-14-inch-Laptop-Intel/dp/B07BSSNB4D
ACER,amd,None,No,https://www.amazon.in/Acer-A315-21-2109-NX-GNVSI-005-Generation-Integrated/dp/B079ZWH69R
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-Graphics/dp/B07FGHZ1XV
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-130-15IKB-81H7005BIN-i3-6006U/dp/B07KD5QKKL
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80XH01JFIN-15-6-inch-i3-6006U-Integrated/dp/B07CRGDR8L
Aspire,amd,None,No,https://www.amazon.in/Acer-NX-GNVSI-005-15-6-inch-Integrated-Graphics/dp/B079QMQT7S
Lenovo,intel,i5,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Graphics-81DE012RIN/dp/B07H2M44HX
HP,amd,None,No,https://www.amazon.in/HP-bw094AU-15-6-inch-Graphics-Sparkling/dp/B076M71KKB
Dell,amd,A6,No,https://www.amazon.in/Dell-Inspiron-3565-Laptop-Windows/dp/B078ZDXXWR
Intel,intel,Pentium,No,https://www.amazon.in/Dell-Vostro-3568-Pentium-graphics/dp/B07JC2FCFM
Dell,None,i3,No,https://www.amazon.in/Vostro-3568-15-6-inch-Gen-Core-i3-7020U/dp/B07GQNSYC3
Intel,intel,Pentium,No,https://www.amazon.in/Acer-A315-32-15-6-inch-Processor-Integrated/dp/B07GP8222K
RDP,intel,None,No,https://www.amazon.in/RDP-Thin-Book-14-1-inch-Storage/dp/B01FFT7BB6
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Windows-5570/dp/B07DWJZWCC
MSI,None,i7,No,https://www.amazon.in/MSI-GF63-8RD-078IN-15-6-inch-i7-8750H/dp/B07G5TFMXF
Lenovo,intel,i5,No,https://www.amazon.in/Lenovo-Ideapad-15-6-inch-Graphics-81DE012CIN/dp/B07F3X12RL
HP,None,i5,No,https://www.amazon.in/HP-DA0300TU-15-6-inch-Integrated-Sparkling/dp/B07DZNNV1Z
Dell,None,i5,No,https://www.amazon.in/Dell-G3-3579-15-6-inch-Graphics/dp/B07FZYS95B
Lenovo,amd,None,No,https://www.amazon.in/Lenovo-Processor-15-6-inch-Graphics-81D600BXIN/dp/B07HBGQVDF
Mi,intel,Atom,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Micromax-Lapbook-11-6-inch/dp/B07F9JJDPW
Dell,None,Pentium,No,https://www.amazon.in/Dell-Vostro-3568-Pentium-15-6-inch/dp/B01N4654DE
HP,None,Pentium,No,https://www.amazon.in/HP-BU005TU-15-6-inch-Integrated-Graphics/dp/B0751C1WGF
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80E502Q8IH-15-6-inch-i3-5005U-Integrated/dp/B015SK6RWQ
Mi,None,i7,No,https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/dp/B07GXV9LS6
Lenovo,None,i7,No,https://www.amazon.in/Lenovo-ThinkPad-E480-i7-8550U-Graphics/dp/B07GSZG59C
Intel,intel,i3,No,https://www.amazon.in/Acer-E5-576-15-6-inch-i3-7020U-Integrated/dp/B07HP7WCCD
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-i3277-3838BLK-21-5-inch-Integrated/dp/B07D9L4N47
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-330-81DC00NDIN-Windows-Student/dp/B07KYN4MPT
Aspire,amd,None,No,https://www.amazon.in/Acer-Aspire-ES1-521-NX-G2KSI-024-Diamond/dp/B01C5P1BXM
Aspire,None,Celeron,No,https://www.amazon.in/Acer-A315-31-C0A7-15-6-inch-Integrated-Graphics_Obsidian/dp/B077B3TCNN
HP,None,Celeron,No,https://www.amazon.in/HP-Celeron-15-6-Inch-Windows-BU031TU/dp/B07D7K1Q5S
Lenovo,intel,i5,yes,https://www.amazon.in/Lenovo-Processor-14-inch-Touchscreen-80X800RWIN/dp/B0756HHQB5
Lenovo,intel,Pentium,No,https://www.amazon.in/Lenovo-Ideapad-Pentium-15-6-inch-81D100C8IN/dp/B07H2HRKPJ
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-G50-80-80E502Q3IH-15-6-inch-Graphics/dp/B018JXCMN2
Intel,intel,i3,No,https://www.amazon.in/Dell-3558-Z555103UIN9-i3-4GB-1TB-HDD-15-6inches/dp/B011V4X0E6
Intel,intel,i3,No,https://www.amazon.in/Dell-Inspiron-3542-15-6-inch-i3-4005U/dp/B00O4WJICQ
Reach,intel,Celeron,No,https://www.amazon.in/Reach-Quanto-RCN-025-Braswell-Celeron/dp/B06VT4SJF6
HP,amd,i7,yes,https://www.amazon.in/REFURBISHED-840-G2-I7-16GB-512GB-SSD-Touchscreen-Professional/dp/B07KKN5MN6
Dell,None,i3,No,https://www.amazon.in/Dell-Vostro-3568-Laptop-Windows/dp/B074ZLD6QK
