Company, CPU company, CPU model, touchscreen, Link
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5370-13-3-inch-Windows/dp/B079P2X5R6
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3565-15-6-inch-Windows/dp/B078JVYMV1
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5370-13-3-inch-Windows/dp/B079P2X5R6
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3565-15-6-inch-Windows/dp/B078JVYMV1
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-3576-15-6-inch-Windows/dp/B07H7Q233D
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Windows-5570/dp/B07GFY7RNQ
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-Laptop-Windows-Graphics/dp/B07B44TMBF
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3565-Laptop-Ubuntu/dp/B07H7D1TRD
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-Graphics/dp/B07FGHZ1XV
Dell,amd,A6,No,https://www.amazon.in/Dell-Inspiron-3565-Laptop-Windows/dp/B078ZDXXWR
Mi,None,i7,No,https://www.amazon.in/Dell-Inspiron-7567-15-6-inch-i7-7700HQ/dp/B072N57KSD
Dell,None,i5,No,https://www.amazon.in/Inspiron-7373-13-3-inch-i5-8250U-Integrated/dp/B076P8RYC3
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Windows-5570/dp/B07DWJZWCC
Dell,None,i3,No,https://www.amazon.in/Inspiron-5378-13-3-inch-i3-7100U-Integrated/dp/B0752D863H
Mi,None,i7,No,https://www.amazon.in/Dell-Inspiron-7567-7th-i7-7700HQ-Graphins/dp/B07BP4KD71
Dell,None,i5,No,https://www.amazon.in/Certified-REFURBISHED-Dell-5558-15-6-inch/dp/B01N6KV99U
Dell,None,i7,No,https://www.amazon.in/Dell-Inspiron-i7-7500-Screen-Windows/dp/B01L8PDMO6
Dell,None,Pentium,No,https://www.amazon.in/Dell-Inspiron-3552-15-6-inch-Integrated/dp/B01JSAABWY
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-i3277-3838BLK-21-5-inch-Integrated/dp/B07D9L4N47
Mi,intel,i7,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-Platinum/dp/B078MBP1HN
Intel,intel,i3,No,https://www.amazon.in/Dell-Inspiron-3542-15-6-inch-i3-4005U/dp/B00O4WJICQ
Dell,None,i7,yes,https://www.amazon.in/Dell-Inspiron-7378-13-3-Core/dp/B072XRG96F
Dell,None,i7,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-i7-8550U/dp/B07DW6YZJX
Dell,None,Pentium,No,https://www.amazon.in/Dell-Inspiron-Z565162SIN9-Pentium-Windows/dp/B0721FCM5R
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Integrated-Graphics/dp/B00LGMG27G
Dell,None,i5,No,https://www.amazon.in/Inspiron-5379-13-3-inch-Pre-Installed-Integrated/dp/B0773RWWN2
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-Graphics/dp/B07GFMSL44
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-15-3567-15-6-inch-i5-7200U/dp/B06XVB4VZY
Dell,None,i3,No,https://www.amazon.in/Inspiron-3567-15-6-inch-Gen-Core-i3-7020U/dp/B07GQMHBZG
Mi,None,i7,No,https://www.amazon.in/Dell-15-7567-15-6-inch-i7-7700HQ/dp/B0759KKWHS
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-3555-15-6-inch-Integrated/dp/B01JRZ0SJ6
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-5-inch-Laptop-Windows/dp/B07D4YSC24
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-i3-5005U-Integrated/dp/B01GHGLLP8
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5000-2-1-15-6-Touch/dp/B07FLDJZSD
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Laptop-Windows/dp/B07CJYWR9T
