Company, CPU company, CPU model, touchscreen, Link
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-15-6-inch-Laptop-Windows/dp/B06Y3KJ2Z5
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-14-inch-Windows-80XG008NIN/dp/B079YVKVTT
Intel,intel,i3,yes,https://www.amazon.in/HP-Pavilion-14-inch-Touchscreen-cd0077TU/dp/B07D8RP4KY
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5370-13-3-inch-Windows/dp/B079P2X5R6
HP,None,i3,No,https://www.amazon.in/HP-15-da0327tu-15-6-inch-i3-7100U-Integrated/dp/B07FV3TNLY
Intel,intel,i3,No,https://www.amazon.in/Dell-Vostro-15-6-inch-Laptop-Windows/dp/B06Y3KJ2Z5
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Ideapad-14-inch-Windows-80XG008NIN/dp/B079YVKVTT
Intel,intel,i3,yes,https://www.amazon.in/HP-Pavilion-14-inch-Touchscreen-cd0077TU/dp/B07D8RP4KY
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5370-13-3-inch-Windows/dp/B079P2X5R6
HP,None,i3,No,https://www.amazon.in/HP-15-da0327tu-15-6-inch-i3-7100U-Integrated/dp/B07FV3TNLY
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-3576-15-6-inch-Windows/dp/B07H7Q233D
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Windows-5570/dp/B07GFY7RNQ
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-Laptop-Windows-Graphics/dp/B07B44TMBF
Intel,intel,i5,No,https://www.amazon.in/Dell-3478-14-inch-Windows-Graphics/dp/B07CJXCXV1
Dell,amd,None,No,https://www.amazon.in/Dell-5575-15-6-inch-Windows-Graphics/dp/B07CK6MZ67
Dell,None,i7,No,https://www.amazon.in/Dell-G3-3579-15-6-inch-i7-8750H/dp/B07G11WCDL
Intel,intel,i3,No,https://www.amazon.in/HP-15q-bu041tu-15-6-inch-Integrated-Sparkling/dp/B07DZLYNMR
crosoft,intel,i3,No,https://www.amazon.in/HP-Convertible-14-cd0078TU-Microsoft-Integrated/dp/B07DDJLX6T
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-Graphics/dp/B07FGHZ1XV
Dell,None,i5,No,https://www.amazon.in/XPS-9370-13-3-inch-i5-8250U-Integrated/dp/B07B69ZHBW
Mi,None,i7,No,https://www.amazon.in/Dell-Inspiron-7567-15-6-inch-i7-7700HQ/dp/B072N57KSD
